title_id,title_name_kr,title_name_en,title_url,title_image,views,likes,rating,rating_count,tags,genre,art_author,content_format,synopsis,pitch,creator_id,created_at,updated_at,story_author,comps,tagline,description,completed,chapters,perfect_for,tone,audience,rights
bb0767b3-75e8-40be-9416-adbf272d14ed,,"Shall We Bathe, Your Grace?",,,1000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 10:58:01.395687+00,Nokan,Monte Python and the Holy Grail,"Hilarious spoof of fairytale stories, asking the obvious question – what must all of those bath-adverse royals smell like?","Marry me, and we can bathe twice a day!
Unwashed hair, dirty fingernails, and the sickening stench of body odor mixed with perfume! Nadia is horrified to wake up in a romance fantasy novel where bathing is abhorred. Her only hope lies in Duke Cartane, the one man who doesn't stink. Will he help her get her squeaky-clean happy ending?",ONGOING,21,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
bb5e23eb-68c5-432a-8608-00bfe73b52ca,,Trophy Husband,,,1000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Manta Comics,Rapunzel,An empowered female lead finds her perfect himbo,"Let me be your trophy.
With her wealth, status, and godlike strength, Duke Serena has it all — everything but her heart, that is. Enter Ricardo, a charming prince who claims to know its whereabouts and proposes an alliance that would benefit them both. Is this mysterious suitor really the key to regaining her lost heart?",ONGOING,29,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
becfe6a2-cb60-4f50-ac0c-348caefc3ea2,,Reborn as the Enemy Prince,,,1000000,,,,[],ACTION,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 10:57:43.420605+00,Ja Seo Hyeon,A fantasy version of Donnie Darko,REMOVE Imagine being kin to your sworn enemy.,"Killed in battle while defending his country, Bern wakes up in the body of the enemy prince, Kalian, with a unique opportunity to prevent an upcoming war. But between taming an abusive half-brother and surviving his mother's deadly web of intrigue, sweet revenge seems to slip further beyond his grasp at every turn.",ONGOING,30,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
c133eca3-6e1a-442b-8ea9-eaf490c7264a,,The Accidental Heiress,,,5000000,,,,[],ROMANCE,Doggo,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"Supia, Doggo",You Got Mail,Rivals becomes lovers as they fight over an inheritance,"May the best heir win!
Florist Riella never meant to catch the attention of Duchess Horssen with her shining flowers, and she certainly didn't mean to inherit her entire fortune! So when the enraged Grand Duke Hann appears before her to claim possession of the inheritance, what is she to do? Can she defend her newfound title?",ONGOING,40,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
c207064f-9ce6-4fa0-bc32-eb707d93e519,,I Can See Your Stats!,,,1000000,,,,[],PERIOD,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,CarpeXD,Ready Player One,"An estate to manage, a lover to tame.","Following the gruesome death of his family, mage Eyra inherits the Solath Estate and becomes a lord overnight, only to discover that he can suddenly see the stats of everyone he meets. Enter Yanu, a dashing jack-of-all-trades who seems hell-bent on distracting him from his newfound duties...",ONGOING,23,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
c245dbcf-f69d-4c83-ae18-1562b0b62c0e,,NPCs Can Save,,,1000000,,,,[],LGBTQ+,Poppypari,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Poppypari,Peripheral,Tutorial NPC here to save the day!,"We've all read those stories—the protagonist has a terrible accident but then comes back as a key character in a fantasy novel— and so has Lucian. Imagine his surprise when he gets into one then is reincarnated in a fantasy game he's played as... an NPC! He's supposed to change the fates, but how?!",ONGOING,92,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
c756ba54-94ee-4d5c-b435-d88e0178243c,,Rewriting My Tragic Ending,,,1000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Manta Comics,Anastasia,A take-charge female protagonist in an exciting fantasy world.,"Alicia Melfont vows to restore the former glory of her house after the Dark God's agent massacres her family. But when a mysterious book reveals that she's only a supporting character meant to die for the true protagonist of the story, Alicia decides she won't let some silly book determine her fate.",ONGOING,26,DRAMA SERIES,DRAMATIC,ADULTS 18-34,MANTA/RIDI
cb5f1dc0-e314-4f88-88cc-ea3a0a48464f,,Kneel Before Me,,,5000000,,,,[],ROMANCE,Sosoo,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"Gyeonwoo, Sosoo",Anastasia,An epic fantasy with unique worldbuilding,"In the storm sleeps a giant...
When the unfaithful crown prince calls off their marriage, Lady Kyrie is exiled to a remote cottage. On the way, she discovers a hidden village while avoiding a snowstorm. It's there ""the end"" is awakened... and it's starting to become obsessed with her.",ONGOING,55,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
cc11ae59-06f8-4da6-8588-5ec38b290ca1,,Stone House on Jeju Island,,,1000000,,,,[],ROMANTIC,Ninyoung,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Brenda Paik Sunoo & Summer Yang,Mama Mia!,A romantic romp in an inspiring place,"Come heal and find love in Jeju!
3rd-generation Korean-American Brenda falls in love with Jeju Island while researching its female divers. She decides to take the plunge and move to the island with her husband. There, she dives deep into Jeju's history and culture while healing, growing, and building friendships along the way.",COMPLETED,10,FEATURE FILM,ROM-COM,ADULTS 18-34,MANTA/RIDI
d03ef291-f10c-44c2-a9a4-4426cb5a6319,,Bittersweet Con Panna,,,1000000,,,,[],LGBTQ+,"Hobaen, Sohn Gaepi",,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"Hobaen, Sohn Gaepi",The Incredibly True Adventure of Two Girls in Love,A sweet lesbian romance,"I'm not clingy... I'm just in love!
Graduate student Songah thinks her girlfriend Yoosung is the cutest girl in the world. It doesn't matter if she's actually more sophisticated than adorable; Yoosung is number one in her heart! So how is she supposed to react when some hot childhood friend suddenly enters the mix?!",ONGOING,35,FEATURE FILM,ROM-COM,ADULTS 18-34,MANTA/RIDI
